,output_state,experiment,diagnosis,invalid_loss_value,max_memory_allocated,final_batch_size,project,linear_probing,curve_length
211,ok,22685419152591035_mini_set2_PLT_DOC_v1,success,True,3165357568.0,8.0,AFT-MN-00,True,26.0
212,ok,22815179777630122_mini_set1_RSICB_v1,success,False,8471437312.0,256.0,AFT-MN-00,False,1.0
213,ok,22699970884148305_mini_set0_CRS_v1,success,False,9904274432.0,4.0,AFT-MN-00,False,1.0
214,ok,13775615448537268_mini_set0_CRS_v1,success,False,8642305024.0,64.0,AFT-MN-01,True,50.0
215,ok,2295418263156179_mini_set1_PLT_NET_v1,success,False,8160089600.0,256.0,AFT-MN-00,False,1.0
216,ok,101449176740089726_mini_set1_DOG_v1,success,False,8114304000.0,8.0,AFT-MN-02,True,50.0
217,ok,100239152903273275_mini_set2_PRT_v1,success,False,4161922560.0,16.0,AFT-MN-04,True,50.0
218,ok,100423834391031358_mini_set0_MD_MIX_v1,success,False,199067136.0,8.0,AFT-MN-04,True,50.0
219,ok,10083814934861020_mini_set2_TEX_ALOT_v1,success,,,,,,
220,xx,10017762325121273_mini_set0_BCT_v1,diverged,True,6660381184.0,8.0,AFT-MN-07,True,1.0
221,ok,100281397475676210_mini_set1_TEX_DTD_v1,success,False,4132513280.0,16.0,AFT-MN-07,True,50.0
222,ok,100321137860067916_mini_set0_SPT_v1,success,False,9945682432.0,16.0,AFT-MN-05,False,1.0
223,ok,100563378487690834_mini_set0_BCT_v1,success,False,9992218624.0,4.0,AFT-MN-03,False,1.0
224,ok,100160203634018772_mini_set0_BCT_v1,success,False,10120800256.0,4.0,AFT-MN-06,False,1.0
225,ok,10011670665608324_mini_set2_PRT_v1,success,False,687278592.0,4.0,AFT-MN-10,True,50.0
226,ok,100127337910306834_mini_set2_ACT_410_v1,success,False,1568356352.0,8.0,AFT-MN-11,True,50.0
227,xx,100137654139182253_mini_set2_ACT_410_v1,AMP,,,,,,
228,ok,1001027908207854_mini_set0_CRS_v1,success,,,,,,
229,ok,10037275841525775_mini_set0_RESISC_v1,success,False,5280615936.0,256.0,AFT-MN-11,True,50.0
230,ok,10097053711253041_mini_set2_INS_v1,success,False,6416670208.0,128.0,AFT-MN-07,True,50.0
