device_count,initial_eval_loss,initial_eval_top1,initial_eval_top5,invalid_loss_value,max_memory_allocated,final_batch_size,experiment,project,curve_length
1,3.0528665512800215,4.375,18.75,False,3407675904,2,56054244770464896_micro_set1_TEX_DTD_v1,AFT-MC-00,50
1,3.0361328125,12.5,12.5,False,10284430848,4,90119012542975967_micro_set2_PLT_DOC_v1,AFT-MC-00,1
1,3.1954957246780396,6.25,25.0,False,10283274752,8,77378083976157090_micro_set0_MD_MIX_v1,AFT-MC-00,1
1,3.0693359375,6.25,21.09375,False,8523679744,64,92890436137602317_micro_set0_FLW_v1,AFT-MC-00,1
1,3.3475054264068604,6.875,26.25,False,739060224,16,1729590510504498_micro_set0_FLW_v1,AFT-MC-00,50
1,3.0168809950351716,4.375,25.0,False,3323564032,2,334426668978393504_micro_set0_PLT_VIL_v1,AFT-MC-00,50
1,3.0783969283103945,4.375,29.375,False,2932092928,8,3152406689109886_micro_set0_BRD_v1,AFT-MC-00,50
1,3.0057031869888307,5.625,25.0,False,279663104,16,38129065114676118_micro_set2_ACT_410_v1,AFT-MC-00,50
1,5.957606084105461e+30,6.25,31.25,False,9566528000,8,40187364687147016_micro_set0_BCT_v1,AFT-MC-00,1
1,3.2981752514839173,4.375,18.75,False,422042112,8,67810545367997062_micro_set1_RSICB_v1,AFT-MC-00,50
1,3.35,4.375,36.875,False,4616373760,16,32456687388326539_micro_set0_BRD_v1,AFT-MC-00,50
1,3.3017578125,0.0,18.75,False,10300960768,16,31186310609156015_micro_set2_PRT_v1,AFT-MC-00,1
1,3.259765625,6.25,25.0,False,8540713472,256,116967584400112995_micro_set1_MD_5_BIS_v1,AFT-MC-00,50
1,3.054296875,1.25,30.0,False,8526457856,64,230398215085113495_micro_set0_TEX_v1,AFT-MC-00,50
1,3.2578052345075106,3.289473684210526,19.736842105263158,False,1620678656,8,46892431787287090_micro_set1_PNU_v1,AFT-MC-00,50
1,3.1980879934210527,4.605263157894737,26.973684210526315,True,259659776,16,79756321510232575_micro_set1_DOG_v1,AFT-MC-00,27
1,3.257805287837982,3.289473684210526,19.736842105263158,False,610242560,2,80624705652681678_micro_set1_PNU_v1,AFT-MC-00,50
1,3.0712890625,0.0,25.0,False,9864029696,4,111554506433028803_micro_set2_MD_6_v1,AFT-MC-00,1
1,3.1824443340301514,3.75,21.875,False,58269696,4,20022593319258644_micro_set0_FLW_v1,AFT-MC-00,50
1,3.13583984375,4.375,31.875,False,361098752,8,4003637151027245_micro_set1_APL_v1,AFT-MC-00,50
1,3.380078125,4.375,25.0,False,7886351872,32,174227615732772485_micro_set2_TEX_ALOT_v1,AFT-MC-00,50
1,3.3255873918533325,6.25,25.0,False,10315095552,16,69564516587391358_micro_set2_PLT_DOC_v1,AFT-MC-00,1
1,,3.125,21.875,True,8573857792,64,6382851920115457_micro_set2_INS_v1,AFT-MC-00,1
1,3.0919921875,3.75,26.25,False,2671242752,2,24525090854250463_micro_set0_PLT_VIL_v1,AFT-MC-00,50
1,,5.625,26.875,False,9983638016,2,74854462075746895_micro_set0_BRD_v1,AFT-MC-00,50
1,3.3756844729185103,6.875,28.125,False,1086002176,2,110615075798670054_micro_set2_RSD_v1,AFT-MC-00,50
1,3.0031292915344237,6.875,34.375,False,605828096,8,64345384788117232_micro_set2_INS_v1,AFT-MC-00,50
1,,4.6875,54.6875,True,10111343616,32,323089014621560519_micro_set2_TEX_ALOT_v1,AFT-MC-00,1
1,3.3570369243621827,1.25,19.375,False,8652300288,64,96465057899610574_micro_set2_RSD_v1,AFT-MC-00,50
1,3.5126953125,10.9375,25.0,False,10451745280,32,40155631569233367_micro_set0_PLT_VIL_v1,AFT-MC-00,1
1,3.212890625,6.875,26.875,False,2392931328,8,12313088415204053_micro_set1_APL_v1,AFT-MC-00,50
1,3.019140625,4.375,25.625,False,7034177536,64,33502273536312717_micro_set1_PLT_NET_v1,AFT-MC-00,50
1,3.05390625,6.875,28.125,False,500277248,16,499841375201395567_micro_set1_INS_2_v1,AFT-MC-00,50
