,output_state,experiment,diagnosis,invalid_loss_value,max_memory_allocated,final_batch_size,project,linear_probing,curve_length
246,ok,101872690205721451_mini_set2_PLT_DOC_v1,success,,,,,,
247,xx,101272339251196442_mini_set1_TEX_DTD_v1,OOM,,,,,,
248,ok,100551476461653760_mini_set2_INS_v1,success,,,,,,
249,ok,10087411443281611_mini_set1_DOG_v1,success,,,,,,
250,ok,10221447284353102_mini_set2_MD_6_v1,success,,,,,,
251,ok,102689076860535248_mini_set0_MD_MIX_v1,success,,,,,,
252,xx,102187473783171251_mini_set1_PNU_v1,AMP,,,,,,
253,xx,10124468896061729_mini_set2_AWA_v1,AMP,,,,,,
254,ok,100368800628112646_mini_set0_FLW_v1,success,,,,,,
255,ok,23007148667950520_mini_set0_SPT_v1,success,,,,,,
256,ok,100504369193986802_mini_set0_MD_MIX_v1,success,,,,,,
257,ok,102560541396477026_mini_set0_RESISC_v1,success,,,,,,
258,ok,101862473024417780_mini_set0_BRD_v1,success,,,,,,
259,ok,100880203078553510_mini_set1_TEX_DTD_v1,success,,,,,,
260,ok,102724358968054043_mini_set2_PLT_DOC_v1,success,,,,,,
261,xx,1001190573203910_mini_set0_CRS_v1,OOM,,,,,,
262,ok,1034225960328505_mini_set0_BRD_v1,success,,,,,,
263,ok,101164895536564772_mini_set0_RESISC_v1,success,,,,,,
264,xx,1010533982134841_mini_set0_SPT_v1,cuDNN_error,,,,,,
265,ok,10113441139066147_mini_set0_TEX_v1,success,,,,,,
266,ok,23014107361307581_mini_set2_AWA_v1,success,,,,,,
267,xx,23012728800455665_mini_set0_CRS_v1,OOM,,,,,,
268,ok,10248098137293517_mini_set0_TEX_v1,success,,,,,,
269,ok,102237115359515632_mini_set2_AWA_v1,success,,,,,,
270,xx,103099178845248025_mini_set1_MED_LF_v1,AMP,,,,,,
271,ok,102367668661533179_mini_set2_TEX_ALOT_v1,success,,,,,,
272,ok,102237274856900689_mini_set1_ACT_40_v1,success,,,,,,
273,ok,10395875114466109_mini_set1_PNU_v1,success,,,,,,
274,ok,23194510069987399_mini_set2_AWA_v1,success,,,,,,
275,ok,10238417762986917_mini_set1_MD_5_BIS_v1,success,,,,,,
276,ok,102697465800734518_mini_set0_BCT_v1,success,,,,,,
277,ok,10326633133386167_mini_set0_RESISC_v1,success,,,,,,
278,ok,1025370867813063_mini_set1_RSICB_v1,success,,,,,,
279,xx,103368899053290606_mini_set2_FNG_v1,OOM,,,,,,
280,ok,10270626760672186_mini_set2_MD_6_v1,success,,,,,,
281,ok,104091773777972139_mini_set1_PNU_v1,success,,,,,,
282,ok,1037039705520088_mini_set2_PRT_v1,success,,,,,,
283,ok,103132199697624400_mini_set1_PNU_v1,success,,,,,,
284,ok,10387440901040041_mini_set2_RSD_v1,success,,,,,,
285,ok,103171730403126134_mini_set1_INS_2_v1,success,,,,,,
286,ok,103182344864352005_mini_set2_AWA_v1,success,,,,,,
287,xx,10381237268746701_mini_set1_DOG_v1,AMP,,,,,,
288,ok,23427086025942835_mini_set0_RESISC_v1,success,,,,,,
289,xx,102278936832798022_mini_set1_PNU_v1,batch_size>dataset_size,,,,,,
290,xx,102615558987463749_mini_set1_APL_v1,batch_size>dataset_size,,,,,,
291,xx,102711956437672702_mini_set2_BTS_v1,NoCUDA,,,,,,
292,xx,103186634293619092_mini_set1_RSICB_v1,NoCUDA,,,,,,
293,xx,104631892508555689_mini_set1_DOG_v1,AMP,,,,,,
294,ok,103366383244427247_mini_set2_PLT_DOC_v1,success,,,,,,
295,ok,101463000844782343_mini_set0_TEX_v1,success,,,,,,
296,ok,10332979897479395_mini_set0_MD_MIX_v1,success,,,,,,
297,ok,10426632681736895_mini_set1_MD_5_BIS_v1,success,,,,,,
298,ok,14071200635275659_mini_set1_PLT_NET_v1,success,,,,,,
299,xx,101912390336663472_mini_set0_BRD_v1,OOM,,,,,,
300,ok,142015511397678154_mini_set1_RSICB_v1,success,,,,,,
301,ok,142656613311246744_mini_set0_PLT_VIL_v1,success,,,,,,
302,xx,103004463280810181_mini_set1_MD_5_BIS_v1,OOM,,,,,,
303,ok,142439658177362310_mini_set1_MD_5_BIS_v1,success,,,,,,
304,xx,10202649801630059_mini_set0_BRD_v1,AMP,,,,,,
305,ok,103494358779699489_mini_set0_BCT_v1,success,,,,,,
306,xx,103982297235485963_mini_set1_MD_5_BIS_v1,AMP,,,,,,
307,xx,101466209307237403_mini_set0_MD_MIX_v1,OOM,,,,,,
308,xx,102158771654770794_mini_set1_INS_2_v1,NoCUDA,,,,,,
309,xx,105094857870478000_mini_set1_INS_2_v1,OOM,,,,,,
310,ok,105122010695209930_mini_set2_ACT_410_v1,success,,,,,,
311,ok,102506877328178784_mini_set0_CRS_v1,success,,,,,,
312,ok,103137136900747523_mini_set0_CRS_v1,success,,,,,,
313,ok,102711568989865482_mini_set0_RESISC_v1,success,,,,,,
314,ok,103198234966572968_mini_set2_FNG_v1,success,,,,,,
315,ok,103198234966572968_mini_set2_FNG_v1,success,,,,,,
316,ok,101912124900397959_mini_set0_BRD_v1,success,,,,,,
317,ok,101602690600694908_mini_set1_DOG_v1,success,,,,,,
318,ok,103592088096905919_mini_set1_PNU_v1,success,,,,,,
319,ok,23568770888544623_mini_set1_PLT_NET_v1,success,,,,,,
320,ok,14354154545488262_mini_set2_ACT_410_v1,success,,,,,,
321,ok,102982441305126998_mini_set0_MD_MIX_v1,success,,,,,,
322,ok,10421154487360030_mini_set0_RESISC_v1,success,,,,,,
323,xx,10332453018848961_mini_set1_ACT_40_v1,diverged,,,,,,
324,ok,10523623834416508_mini_set0_SPT_v1,success,,,,,,
325,ok,10370612709557009_mini_set1_INS_2_v1,success,,,,,,
326,xx,10529116642451092_mini_set0_TEX_v1,OOM,,,,,,
327,ok,10166577770876244_mini_set0_CRS_v1,success,,,,,,
328,ok,10551489467483732_mini_set2_PLT_DOC_v1,success,,,,,,
329,ok,10578655685429497_mini_set0_TEX_v1,success,,,,,,
330,ok,102022663655553585_mini_set1_DOG_v1,success,,,,,,
331,xx,102063388988210573_mini_set1_PLT_NET_v1,OOM,,,,,,
332,ok,102098946934360828_mini_set2_BTS_v1,success,,,,,,
333,ok,2356982483253587_mini_set0_RESISC_v1,success,,,,,,
334,ok,23606166295118623_mini_set1_DOG_v1,success,,,,,,
335,ok,14512347120714188_mini_set1_DOG_v1,success,,,,,,
336,ok,237803840629096995_mini_set0_MD_MIX_v1,success,,,,,,
337,ok,10390101013643983_mini_set2_FNG_v1,success,,,,,,
338,ok,23814763918844939_mini_set0_FLW_v1,success,,,,,,
339,ok,104255977720780281_mini_set2_PLT_DOC_v1,success,,,,,,
340,xx,104153172641024539_mini_set0_CRS_v1,AMP,,,,,,
341,xx,105218729989787187_mini_set2_ACT_410_v1,AMP,,,,,,
342,ok,10491491598318067_mini_set2_ACT_410_v1,success,,,,,,
343,xx,105610561053328569_mini_set0_CRS_v1,diverged,,,,,,
344,ok,106004469094306166_mini_set1_INS_2_v1,success,,,,,,
345,ok,14628655445609544_mini_set2_TEX_ALOT_v1,success,,,,,,
346,ok,102843809113519930_mini_set2_PRT_v1,success,,,,,,
347,ok,10293292760705823_mini_set0_RESISC_v1,success,,,,,,
348,ok,104452245801301685_mini_set2_PLT_DOC_v1,success,,,,,,
349,ok,106229019793839796_mini_set2_MD_6_v1,success,,,,,,
