invalid_loss_value,max_memory_allocated,final_batch_size,experiment,project,linear_probing,curve_length
False,5627783680,16,13397597094579883_extended_set1_APL_v1,AFT-EX-02,True,1
False,201323008,32,12552053484603033_extended_set0_FLW_v1,AFT-EX-02,True,1
False,9979478528,2,80068442031838404_extended_set0_FLW_v1,AFT-EX-02,True,1
False,2011076096,256,45798404480069198_extended_set1_TEX_DTD_v1,AFT-EX-02,False,50
False,10265816576,8,335841685292230025_extended_set0_SPT_v1,AFT-EX-02,False,50
False,284170240,4,43101945106004_extended_set0_BCT_v1,AFT-EX-02,True,1
False,3257172480,16,14593558107028453_extended_set0_BCT_v1,AFT-EX-02,True,1
False,5946298368,128,3600871869189253_extended_set2_PLT_DOC_v1,AFT-EX-02,True,1
False,150977536,32,19155329799860799_extended_set0_TEX_v1,AFT-EX-02,False,50
False,5490189824,16,2396638460698099_extended_set0_TEX_v1,AFT-EX-02,False,50
False,303205376,8,243653892713653793_extended_set1_DOG_v1,AFT-EX-02,True,1
False,599530496,16,75706929878098434_extended_set1_DOG_v1,AFT-EX-02,False,50
False,7621498368,256,27812254586139339_extended_set2_ACT_410_v1,AFT-EX-02,False,50
False,26189312,2,147870690505908948_extended_set1_PNU_v1,AFT-EX-02,True,1
False,478797312,2,196286152153479769_extended_set2_ACT_410_v1,AFT-EX-02,True,1
False,79535616,4,1523846805353805_extended_set2_ACT_410_v1,AFT-EX-02,False,50
False,5791245312,2,5042485482828264_extended_set1_ACT_40_v1,AFT-EX-02,True,1
False,4157443584,32,41530626482018031_extended_set0_RESISC_v1,AFT-EX-02,True,1
False,8740639232,128,5975813887617883_extended_set0_SPT_v1,AFT-EX-02,True,1
False,545646080,8,81472503958334284_extended_set1_ACT_40_v1,AFT-EX-02,False,50
False,3499637760,256,19047973785921465_extended_set2_BTS_v1,AFT-EX-02,True,1
False,3782682624,512,8247440365039655_extended_set1_RSICB_v1,AFT-EX-02,False,50
False,4344186368,8,7063509121607272_extended_set0_FLW_v1,AFT-EX-02,True,1
False,233340416,4,19480452666389823_extended_set1_PNU_v1,AFT-EX-02,True,1
False,271126528,32,5405546405407257_extended_set0_RESISC_v1,AFT-EX-02,False,50
False,99076096,4,165976155020378577_extended_set1_MED_LF_v1,AFT-EX-02,True,1
False,1723874816,128,502618439303477112_extended_set2_BTS_v1,AFT-EX-02,False,50
False,39277568,2,456488367397232814_extended_set1_RSICB_v1,AFT-EX-02,False,50
False,1230544896,16,20136817982327694_extended_set0_PLT_VIL_v1,AFT-EX-02,False,50
False,9981312000,4,71422416772963256_extended_set0_BRD_v1,AFT-EX-02,False,50
False,1286521856,2,143416829958335155_extended_set1_INS_2_v1,AFT-EX-02,True,1
False,1632783360,64,79587357121985428_extended_set1_MED_LF_v1,AFT-EX-02,True,1
False,708460544,2,13161160236713148_extended_set2_AWA_v1,AFT-EX-02,True,1
False,610825728,2,55871930156995728_extended_set1_APL_v1,AFT-EX-02,True,1
False,538486272,16,54195041812600392_extended_set2_RSD_v1,AFT-EX-02,True,1
False,1137178112,64,18333101668971304_extended_set2_PRT_v1,AFT-EX-02,False,50
False,2856803328,8,10021731738129023_extended_set2_PLT_DOC_v1,AFT-EX-02,False,50
False,598906880,16,19298426506941264_extended_set0_BCT_v1,AFT-EX-02,True,1
False,6050768384,2,29025291470941693_extended_set1_RSICB_v1,AFT-EX-02,True,1
False,18219520,2,105139725970384729_extended_set2_FNG_v1,AFT-EX-02,True,1
False,253622272,8,60155231965179791_extended_set1_ACT_40_v1,AFT-EX-02,True,1
False,5065071104,128,116535858910679677_extended_set1_PNU_v1,AFT-EX-02,False,50
False,6777608192,32,2250415159693316_extended_set0_TEX_v1,AFT-EX-02,False,50
False,745705472,16,12319514384737074_extended_set2_AWA_v1,AFT-EX-02,True,1
False,2382208000,8,493461177775809124_extended_set0_PLK_v1,AFT-EX-02,True,1
False,3037405184,4,119867644850079747_extended_set0_SPT_v1,AFT-EX-02,False,50
False,5492703232,4,277259233777940774_extended_set2_ACT_410_v1,AFT-EX-02,False,50
False,309069312,16,28602035936738808_extended_set2_BTS_v1,AFT-EX-02,False,50
False,9807880192,4,80517378349367030_extended_set1_APL_v1,AFT-EX-02,True,1
False,5615668736,128,502682786071300704_extended_set2_PRT_v1,AFT-EX-02,True,1
False,3696820736,64,32694407343368452_extended_set1_RSICB_v1,AFT-EX-02,False,50
False,1679081984,8,9230347137607349_extended_set1_INS_2_v1,AFT-EX-02,True,1
False,139670528,2,3591935290979370_extended_set0_FLW_v1,AFT-EX-02,True,1
False,5597201408,32,17147646946051677_extended_set2_PLT_DOC_v1,AFT-EX-02,False,50
False,4425385984,256,3791072729460488_extended_set2_BTS_v1,AFT-EX-02,False,50
False,1131661824,64,83554670074742236_extended_set0_PLT_VIL_v1,AFT-EX-02,True,1
False,1254888960,4,134740881653303558_extended_set2_PRT_v1,AFT-EX-02,True,1
False,7899056640,32,16868349340660431_extended_set2_PRT_v1,AFT-EX-02,False,50
False,311320576,8,177416407869325979_extended_set1_ACT_40_v1,AFT-EX-02,False,50
False,931712000,64,827086451735117_extended_set0_TEX_v1,AFT-EX-02,False,50
False,2390219264,32,50851657338278102_extended_set2_ACT_410_v1,AFT-EX-02,True,1
False,5131174912,128,17539250776967785_extended_set2_AWA_v1,AFT-EX-02,True,1
False,319640064,2,48149034685658928_extended_set1_TEX_DTD_v1,AFT-EX-02,True,1
False,399992832,32,122217235477241427_extended_set1_INS_2_v1,AFT-EX-02,False,50
False,391788544,2,112149978847852482_extended_set0_PLT_VIL_v1,AFT-EX-02,True,1
True,7574010368,8,2995875834860291_extended_set0_PLK_v1,AFT-EX-02,False,1
False,1055797248,64,6052061234172125_extended_set2_PRT_v1,AFT-EX-02,True,1
False,9824982528,8,283981122309862426_extended_set2_FNG_v1,AFT-EX-02,True,1
False,8882971648,4,11098657155993662_extended_set2_TEX_ALOT_v1,AFT-EX-02,True,1
False,80574464,2,48488210551921699_extended_set1_TEX_DTD_v1,AFT-EX-02,False,50
False,6116845056,2,15525820287516204_extended_set1_APL_v1,AFT-EX-02,True,1
False,1775258624,128,52224112220462041_extended_set1_RSICB_v1,AFT-EX-02,True,1
False,146037760,8,3356826894089933_extended_set1_PLT_NET_v1,AFT-EX-02,True,1
False,2650151936,128,151202253253220527_extended_set1_ACT_40_v1,AFT-EX-02,True,1
False,407198720,32,91382639390682290_extended_set0_FLW_v1,AFT-EX-02,False,50
False,3111705088,4,314748070316650730_extended_set1_DOG_v1,AFT-EX-02,True,1
False,5815596032,256,87713817521348696_extended_set2_FNG_v1,AFT-EX-02,True,1
False,7534767616,16,9339780005218392_extended_set1_APL_v1,AFT-EX-02,False,50
False,414809088,32,17490077032877918_extended_set0_RESISC_v1,AFT-EX-02,True,1
False,3795781120,256,15525616837138556_extended_set2_ACT_410_v1,AFT-EX-02,True,1
False,105766400,16,102019105372726500_extended_set2_AWA_v1,AFT-EX-02,True,1
False,779762176,8,66430170280424795_extended_set0_CRS_v1,AFT-EX-02,True,1
False,4971335680,8,19892992946845505_extended_set2_AWA_v1,AFT-EX-02,True,1
