invalid_loss_value,max_memory_allocated,final_batch_size,experiment,project,linear_probing,curve_length
False,10359455744,8,106529506822415094_mini_set0_TEX_v1,AFT-MN-00,False,50
False,6013856256,8,221699825931165952_mini_set2_PLT_DOC_v1,AFT-MN-00,True,50
False,5176260608,4,378203347698506571_mini_set1_PNU_v1,AFT-MN-00,False,50
True,3908870656,8,121920364758016625_mini_set1_ACT_40_v1,AFT-MN-00,True,27
False,10331027968,16,63354282852043575_mini_set0_PLT_VIL_v1,AFT-MN-00,False,50
False,984475648,16,2695538024568438_mini_set1_ACT_40_v1,AFT-MN-00,True,50
False,5005640704,4,31952046571449627_mini_set2_PRT_v1,AFT-MN-00,False,50
False,10405295616,16,21216641155519730_mini_set0_BCT_v1,AFT-MN-00,False,50
False,8072404992,256,2938184601163037_mini_set2_RSD_v1,AFT-MN-00,False,50
True,3144412672,16,106747652671293139_mini_set0_BRD_v1,AFT-MN-00,True,26
True,3421450240,4,301599844158601353_mini_set2_ACT_410_v1,AFT-MN-00,True,26
False,10278412288,8,28496649080500439_mini_set0_BRD_v1,AFT-MN-00,False,50
False,10293991936,128,7618285332652676_mini_set0_RESISC_v1,AFT-MN-00,False,50
False,9344595456,64,14961905154098747_mini_set1_TEX_DTD_v1,AFT-MN-00,False,1
False,1085799936,64,73243323413554331_mini_set2_FNG_v1,AFT-MN-00,True,50
False,10233378304,2,5208117889720354_mini_set0_RESISC_v1,AFT-MN-00,False,50
False,542285312,8,27844500262010243_mini_set1_INS_2_v1,AFT-MN-00,False,50
False,10324358656,32,196701390716471295_mini_set1_ACT_40_v1,AFT-MN-00,False,1
False,9756012032,128,111579914710515525_mini_set1_PLT_NET_v1,AFT-MN-00,False,50
True,10137192960,4,7015495518463113_mini_set0_RESISC_v1,AFT-MN-00,False,1
False,1404997632,8,3891477011387440_mini_set1_DOG_v1,AFT-MN-00,False,50
False,139528192,8,100936765923133018_mini_set1_MD_5_BIS_v1,AFT-MN-00,True,50
False,10311973888,8,12297527183134629_mini_set0_PLK_v1,AFT-MN-00,False,50
False,4276930048,2,191285892060802399_mini_set1_APL_v1,AFT-MN-00,True,50
False,4537397760,16,74681943034296229_mini_set2_ACT_410_v1,AFT-MN-00,True,50
False,9204752384,8,145764101493758706_mini_set0_BCT_v1,AFT-MN-00,False,50
False,3256857088,64,111329014936164365_mini_set0_RESISC_v1,AFT-MN-00,False,50
False,10157113856,4,110934619335592965_mini_set2_AWA_v1,AFT-MN-00,False,50
False,1705978368,64,355289766284508473_mini_set2_PLT_DOC_v1,AFT-MN-00,True,50
False,2920526336,32,38366956678506777_mini_set0_PLT_VIL_v1,AFT-MN-00,False,50
False,10247477760,4,2750689275774922_mini_set2_PRT_v1,AFT-MN-00,False,1
False,197681152,4,290888641859302316_mini_set2_PRT_v1,AFT-MN-00,False,50
False,5370984960,8,113014234869760570_mini_set0_PLK_v1,AFT-MN-00,True,50
False,9939292160,8,30551514130941635_mini_set0_BCT_v1,AFT-MN-00,False,50
False,10373665280,16,10314207331342_mini_set2_RSD_v1,AFT-MN-00,False,50
False,10250617344,8,16314107581262878_mini_set0_SPT_v1,AFT-MN-00,False,50
False,2485076480,256,153652275534131673_mini_set1_APL_v1,AFT-MN-00,True,50
False,10095312384,2,74828436996788217_mini_set2_BTS_v1,AFT-MN-00,False,50
False,6594167808,8,19053701048947775_mini_set0_CRS_v1,AFT-MN-00,False,50
False,10323919360,8,16914261096921652_mini_set0_PLK_v1,AFT-MN-00,False,1
False,2514527232,2,22517738800341481_mini_set2_PLT_DOC_v1,AFT-MN-00,False,50
False,3827398656,8,33871918650750652_mini_set1_APL_v1,AFT-MN-00,True,50
False,6433390080,4,31624457040648632_mini_set0_PLT_VIL_v1,AFT-MN-00,True,50
False,7247964672,32,159623229000579362_mini_set2_INS_v1,AFT-MN-00,True,50
False,6626798080,64,25620698192901490_mini_set1_ACT_40_v1,AFT-MN-00,True,50
False,2014290432,8,4205540253374842_mini_set0_RESISC_v1,AFT-MN-00,True,50
False,7002013696,8,15733108728762916_mini_set2_ACT_410_v1,AFT-MN-00,True,50
False,10332247552,8,25509307717383852_mini_set1_PNU_v1,AFT-MN-00,False,50
False,1989504000,32,355145732683231940_mini_set2_ACT_410_v1,AFT-MN-00,False,50
False,2556261376,256,2424320709137115_mini_set0_MD_MIX_v1,AFT-MN-00,True,50
False,5928620544,2,17223517478682216_mini_set2_AWA_v1,AFT-MN-00,True,50
False,8698379776,256,18308741269333766_mini_set0_BRD_v1,AFT-MN-00,True,50
False,10039710208,4,4876459398619965_mini_set2_INS_v1,AFT-MN-00,False,50
False,9597278208,2,116759417912402254_mini_set0_BRD_v1,AFT-MN-00,False,1
False,9063001600,64,22600273658329108_mini_set1_PNU_v1,AFT-MN-00,True,50
False,1230835712,4,126689300671167435_mini_set0_SPT_v1,AFT-MN-00,False,50
False,9083801088,256,27476054931620554_mini_set0_FLW_v1,AFT-MN-00,False,50
True,2948877312,4,309921302703818685_mini_set0_MD_MIX_v1,AFT-MN-00,True,26
False,10122073088,16,17374971847616342_mini_set2_PLT_DOC_v1,AFT-MN-00,False,1
False,8277249536,32,584253685787142844_mini_set2_RSD_v1,AFT-MN-00,False,1
False,10479404032,128,11819314799102212_mini_set1_MED_LF_v1,AFT-MN-00,False,1
False,10058180608,32,142166362890403775_mini_set1_ACT_40_v1,AFT-MN-00,False,1
False,5523629056,8,22986513012532720_mini_set2_MD_6_v1,AFT-MN-00,False,50
False,10088351744,8,26130521299217370_mini_set1_TEX_DTD_v1,AFT-MN-00,False,50
True,3471594496,2,162503863870302181_mini_set2_MD_6_v1,AFT-MN-00,True,26
False,1534504960,256,12719220812063205_mini_set0_PLT_VIL_v1,AFT-MN-00,False,50
False,2607376384,8,41892157932225934_mini_set2_AWA_v1,AFT-MN-00,False,50
False,10207255552,16,14668305975701561_mini_set1_DOG_v1,AFT-MN-00,False,1
False,1130865664,32,37079630834898374_mini_set0_SPT_v1,AFT-MN-00,False,50
False,389727744,32,158334421474778859_mini_set0_BCT_v1,AFT-MN-00,False,50
False,1517321728,8,58024747383996046_mini_set1_PLT_NET_v1,AFT-MN-00,True,50
False,8531977216,16,15453643723640108_mini_set1_MD_5_BIS_v1,AFT-MN-00,False,1
False,10333520384,8,29565136915629298_mini_set0_RESISC_v1,AFT-MN-00,False,1
False,3543289856,64,153027658437887836_mini_set0_PLK_v1,AFT-MN-00,True,50
False,10338045952,8,20017211581962804_mini_set0_SPT_v1,AFT-MN-00,False,50
False,3480131072,64,267343192595710703_mini_set2_PLT_DOC_v1,AFT-MN-00,True,50
False,6737832448,128,34195255354141953_mini_set1_PNU_v1,AFT-MN-00,False,1
False,322746368,4,23007148667950520_mini_set0_SPT_v1,AFT-MN-00,True,50
True,9412214272,16,179263639193846497_mini_set1_MED_LF_v1,AFT-MN-00,False,1
False,1621762048,4,344717045616036548_mini_set2_BTS_v1,AFT-MN-00,False,50
False,4531520512,16,138913725474678517_mini_set0_TEX_v1,AFT-MN-00,True,50
False,460026368,2,1306770108359922_mini_set0_PLT_VIL_v1,AFT-MN-00,True,50
False,8636082176,128,60252590028040196_mini_set1_RSICB_v1,AFT-MN-00,False,1
False,5084975616,16,200272459746531534_mini_set2_PLT_DOC_v1,AFT-MN-00,False,50
True,3382627328,2,6027942579999319_mini_set0_RESISC_v1,AFT-MN-00,True,33
False,10209662976,16,22199253631575383_mini_set2_INS_v1,AFT-MN-00,False,1
False,7412180480,32,106741356533519426_mini_set0_PLK_v1,AFT-MN-00,True,50
True,9155528192,16,20811755037169359_mini_set2_PRT_v1,AFT-MN-00,False,1
False,9945731072,4,309396956599548513_mini_set1_RSICB_v1,AFT-MN-00,False,1
True,10182900224,8,350104284164749171_mini_set2_BTS_v1,AFT-MN-00,False,1
False,3963719168,32,6457968478845836_mini_set1_TEX_DTD_v1,AFT-MN-00,False,50
False,1415598592,4,65029707749017118_mini_set0_PLT_VIL_v1,AFT-MN-00,False,50
