invalid_loss_value,max_memory_allocated,final_batch_size,experiment,project,linear_probing,curve_length
False,1740872704,2,112878123093967770_tfds-icgen_cmaterdb_devanagari_12_v1,AFT-ZAP-00,True,50
False,9786926592,32,15206598845818826_tfds-icgen_cats_vs_dogs_11_v1,AFT-ZAP-00,False,1
False,9255362560,256,11704150886644060_tfds-icgen_imagenet_resized_32x32_2_v1,AFT-ZAP-00,False,50
False,10415229952,16,113189727648489364_tfds-icgen_rock_paper_scissors_14_v1,AFT-ZAP-00,False,50
True,44961792,4,15266698907468907_tfds-icgen_cycle_gan_apple2orange_10_v1,AFT-ZAP-00,True,26
False,480605696,32,100036000066813803_tfds-icgen_cars196_13_v1,AFT-ZAP-00,False,50
False,8301416960,256,163019804653024160_tfds-icgen_fashion_mnist_9_v1,AFT-ZAP-00,True,50
False,10398261760,16,11492414882474755_tfds-icgen_rock_paper_scissors_14_v1,AFT-ZAP-00,False,1
False,752083968,8,16118974626238300_tfds-icgen_stanford_dogs_12_v1,AFT-ZAP-00,True,50
False,2483651072,2,17390216805775722_tfds-icgen_kmnist_6_v1,AFT-ZAP-00,True,50
False,1293498368,64,12983767881731813_tfds-icgen_fashion_mnist_8_v1,AFT-ZAP-00,True,50
False,3897564160,8,161863977451271710_tfds-icgen_cycle_gan_facades_6_v1,AFT-ZAP-00,True,50
True,6626642432,32,101167467994943379_tfds-icgen_horses_or_humans_5_v1,AFT-ZAP-00,True,27
False,705425920,8,10351574302168228_tfds-icgen_cycle_gan_vangogh2photo_5_v1,AFT-ZAP-00,False,50
False,6480379392,256,13111829338211528_tfds-icgen_cmaterdb_telugu_4_v1,AFT-ZAP-00,True,50
False,845596672,16,115769783895973477_tfds-icgen_colorectal_histology_12_v1,AFT-ZAP-00,False,50
False,10363400704,16,115808846115729739_tfds-icgen_visual_domain_decathlon_dtd_2_v1,AFT-ZAP-00,False,1
False,699669504,8,13483496580727865_tfds-icgen_mnist_9_v1,AFT-ZAP-00,True,50
False,9908093952,64,13914363562815347_tfds-icgen_cats_vs_dogs_1_v1,AFT-ZAP-00,False,50
False,8720984576,128,15417423996547749_tfds-icgen_horses_or_humans_7_v1,AFT-ZAP-00,False,1
False,6999884800,8,117589221639816250_tfds-icgen_horses_or_humans_8_v1,AFT-ZAP-00,False,50
False,6358103040,2,11861272256275711_tfds-icgen_cycle_gan_maps_12_v1,AFT-ZAP-00,False,50
False,33462272,4,12272236495092452_tfds-icgen_oxford_iiit_pet_12_v1,AFT-ZAP-00,True,50
True,10250876928,32,11580688683632440_tfds-icgen_rock_paper_scissors_11_v1,AFT-ZAP-00,False,2
False,10115799552,16,101842483478440458_tfds-icgen_cycle_gan_ukiyoe2photo_11_v1,AFT-ZAP-00,False,1
False,10278115328,8,129242738999780380_tfds-icgen_cycle_gan_facades_13_v1,AFT-ZAP-00,False,50
False,2351929344,4,11404526620977345_tfds-icgen_cycle_gan_apple2orange_14_v1,AFT-ZAP-00,False,50
True,8641558528,32,130631711330993553_tfds-icgen_fashion_mnist_13_v1,AFT-ZAP-00,True,26
False,8886074880,16,16893118374315058_tfds-icgen_cifar100_1_v1,AFT-ZAP-00,False,1
False,10126415872,4,15604208861216856_tfds-icgen_cycle_gan_vangogh2photo_1_v1,AFT-ZAP-00,False,1
False,86074880,8,11922100877438032_tfds-icgen_horses_or_humans_15_v1,AFT-ZAP-00,False,50
False,6391616000,2,157298270428431613_tfds-icgen_horses_or_humans_13_v1,AFT-ZAP-00,False,50
False,10399006208,256,149380400853838475_tfds-icgen_cycle_gan_facades_14_v1,AFT-ZAP-00,False,1
False,10199169536,4,14309062478840042_tfds-icgen_cycle_gan_ukiyoe2photo_4_v1,AFT-ZAP-00,False,50
