output_state,experiment,diagnosis
ok,29112465554421466_micro_set1_TEX_DTD_v1,success
ok,29161641730762677_micro_set1_TEX_DTD_v1,success
ok,29275932154287726_micro_set2_BTS_v1,success
ok,29429158676095182_micro_set2_RSD_v1,success
ok,29453059386569061_micro_set1_DOG_v1,success
ok,297088987315243275_micro_set0_MD_MIX_v1,success
ok,298093362151006768_micro_set2_RSD_v1,success
ok,2982940424633500_micro_set0_PLT_VIL_v1,success
ok,2992423546166388_micro_set0_FLW_v1,success
xx,30128515720492643_micro_set0_TEX_v1,batch_size>dataset_size
xx,3028521111790643_micro_set0_BCT_v1,batch_size>dataset_size
ok,30511888812450569_micro_set1_RSICB_v1,success
xx,30545810549235742_micro_set1_ACT_40_v1,OOM
ok,30826947826434029_micro_set2_MD_6_v1,success
ok,3085414136665512_micro_set1_RSICB_v1,success
ok,3102410977642811_micro_set0_CRS_v1,success
xx,31266146115653067_micro_set0_BRD_v1,OOM
xx,31269739855436271_micro_set1_TEX_DTD_v1,AMP
ok,31276319918057611_micro_set1_INS_2_v1,success
xx,31374574001137611_micro_set0_PLT_VIL_v1,AMP
ok,31494364979581724_micro_set0_CRS_v1,success
xx,31538689920668005_micro_set0_MD_MIX_v1,AMP
ok,31566596089102856_micro_set0_MD_MIX_v1,success
xx,31587431517943721_micro_set0_RESISC_v1,batch_size>dataset_size
ok,31606671110183437_micro_set0_SPT_v1,success
xx,319167584556181505_micro_set2_BTS_v1,batch_size>dataset_size
ok,32046939977755054_micro_set0_PLK_v1,success
ok,3225788550585573_micro_set0_PLT_VIL_v1,success
ok,32694437302629505_micro_set0_BRD_v1,success
xx,3281651381461051_micro_set0_BRD_v1,OOM
ok,3288799927830774_micro_set1_MED_LF_v1,success
ok,33065502740252645_micro_set0_PLK_v1,success
ok,3312614375904106_micro_set0_MD_MIX_v1,success
xx,33190474624506455_micro_set1_PNU_v1,OOM
ok,333045979075319604_micro_set1_PLT_NET_v1,success
ok,33677738761381983_micro_set1_PLT_NET_v1,success
xx,3396885339914065_micro_set1_ACT_40_v1,diverged
ok,339762287242777944_micro_set1_INS_2_v1,success
ok,3425544400626997_micro_set1_MD_5_BIS_v1,success
ok,347137956735273904_micro_set1_MED_LF_v1,success
xx,346453706022260151_micro_set0_BRD_v1,AMP
xx,347407404590693532_micro_set2_MD_6_v1,OOM
xx,34985765426512661_micro_set1_MED_LF_v1,batch_size>dataset_size
ok,34998202920302180_micro_set2_ACT_410_v1,success
xx,351524035533293781_micro_set0_PLT_VIL_v1,AMP
ok,351654188430116533_micro_set2_TEX_ALOT_v1,success
ok,351858741224854397_micro_set0_PLT_VIL_v1,success
xx,35248225037083972_micro_set2_BTS_v1,batch_size>dataset_size
ok,35582948130941608_micro_set2_ACT_410_v1,success
ok,35657517889327865_micro_set1_INS_2_v1,success
xx,35789293369800017_micro_set2_MD_6_v1,batch_size>dataset_size
ok,358145780057518164_micro_set0_TEX_v1,success
ok,358270969683719958_micro_set2_BTS_v1,success
xx,3589777802197516_micro_set1_PLT_NET_v1,OOM
ok,3591019162046874_micro_set2_BTS_v1,success
