,output_state,experiment,diagnosis,device_count,initial_eval_loss,initial_eval_top1,initial_eval_top5,invalid_loss_value,max_memory_allocated,final_batch_size,project,curve_length
206,ok,220994189585176215_micro_set1_INS_2_v1,success,1.0,3.4015380859375,1.875,23.75,True,781248000.0,4.0,AFT-MC-00,26.0
207,ok,2218336327808000_micro_set1_INS_2_v1,success,1.0,1.4886529408700513e+18,4.375,22.5,False,4653742080.0,32.0,AFT-MC-00,50.0
208,ok,22293639178954897_micro_set0_PLK_v1,success,1.0,3.50390625,0.0,15.625,False,10337393664.0,16.0,AFT-MC-00,1.0
209,ok,223029994131068752_micro_set1_INS_2_v1,success,1.0,2.7076305150985718,0.0,75.0,False,10204986368.0,2.0,AFT-MC-00,1.0
210,ok,22305128437331045_micro_set2_FNG_v1,success,1.0,3.0419921875,6.25,25.0,False,9661291520.0,32.0,AFT-MC-00,1.0
211,ok,22372547401009346_micro_set1_RSICB_v1,success,1.0,3.0365288257598877,12.5,25.0,False,9828829184.0,4.0,AFT-MC-00,1.0
212,ok,2239607932048220_micro_set1_RSICB_v1,success,1.0,3.921984553337097,0.0,6.25,False,10415185920.0,8.0,AFT-MC-00,1.0
213,ok,22434516310285843_micro_set1_RSICB_v1,success,1.0,3.298046875,4.375,18.75,True,691442176.0,16.0,AFT-MC-00,26.0
214,xx,22476794259189287_micro_set0_BRD_v1,OOM,,,,,,,,,
215,xx,2276213133096178_micro_set0_BRD_v1,batch_size>dataset_size,,,,,,,,,
216,xx,227661788845136501_micro_set2_RSD_v1,batch_size>dataset_size,,,,,,,,,
217,ok,22764133460508596_micro_set1_MED_LF_v1,success,1.0,3.9676669597625733,5.0,20.0,False,1721410560.0,32.0,AFT-MC-00,50.0
218,ok,227776555421163477_micro_set2_FNG_v1,success,1.0,3.312109375,7.5,23.125,False,5522467840.0,32.0,AFT-MC-00,50.0
219,ok,22810932840302659_micro_set1_INS_2_v1,success,1.0,3.292333984375,2.5,15.625,True,815700992.0,2.0,AFT-MC-00,26.0
220,xx,227215010950663391_micro_set0_FLW_v1,OOM,,,,,,,,,
221,ok,229330763829075920_micro_set0_PLT_VIL_v1,success,1.0,3.7580560445785522,1.5625,26.5625,False,10273237504.0,32.0,AFT-MC-00,1.0
222,xx,23019797184162769_micro_set1_PNU_v1,OOM,,,,,,,,,
223,ok,23143236617213288_micro_set1_APL_v1,success,1.0,3.6521016120910645,3.75,20.625,False,1163655168.0,32.0,AFT-MC-00,50.0
224,ok,2331099160200451_micro_set1_RSICB_v1,success,1.0,3.13125,1.875,23.125,False,46789120.0,2.0,AFT-MC-00,50.0
225,ok,234112116023496540_micro_set2_FNG_v1,success,1.0,3.2277810722589493,1.875,18.75,False,2543306752.0,2.0,AFT-MC-00,50.0
226,ok,234488564581382366_micro_set1_MED_LF_v1,success,1.0,3.05433988571167,3.125,22.5,False,8572754944.0,256.0,AFT-MC-00,50.0
227,xx,236353825286873901_micro_set0_CRS_v1,AMP,,,,,,,,,
228,xx,23858873886603383_micro_set2_ACT_410_v1,batch_size>dataset_size,,,,,,,,,
229,ok,23964119343470453_micro_set2_FNG_v1,success,1.0,3.057421875,4.375,22.5,False,2908230144.0,8.0,AFT-MC-00,50.0
230,ok,23945582065971847_micro_set0_RESISC_v1,success,1.0,2.8828125,12.5,31.25,False,10339389440.0,8.0,AFT-MC-00,1.0
231,ok,240264045468189915_micro_set2_MD_6_v1,success,,,,,,,,,
232,xx,23519594090990662_micro_set1_INS_2_v1,success,,,,,,,,,
233,xx,24371072883152065_micro_set1_PLT_NET_v1,AMP,,,,,,,,,
234,ok,24317185434482641_micro_set1_DOG_v1,success,1.0,3.0263671875,7.8125,20.3125,False,10157192192.0,32.0,AFT-MC-00,1.0
235,xx,244044753204553397_micro_set2_ACT_410_v1,batch_size>dataset_size,,,,,,,,,
236,ok,244283848289971831_micro_set1_ACT_40_v1,success,1.0,3.02138671875,2.5,21.875,False,182222336.0,2.0,AFT-MC-00,50.0
237,ok,24601568503875642_micro_set0_PLK_v1,success,1.0,1.5443161298863618e+31,5.0,25.0,False,8289370624.0,2.0,AFT-MC-00,50.0
238,ok,24977046746377920_micro_set1_RSICB_v1,success,1.0,2.9610753059387207,14.0625,35.9375,False,10401431552.0,32.0,AFT-MC-00,1.0
239,xx,25021339797091969_micro_set1_PNU_v1,OOM,,,,,,,,,
240,xx,250440310978979976_micro_set0_TEX_v1,OOM,,,,,,,,,
241,xx,25146651527379736_micro_set1_APL_v1,batch_size>dataset_size,,,,,,,,,
242,xx,2530507384342709_micro_set1_RSICB_v1,batch_size>dataset_size,,,,,,,,,
243,xx,25431181906693697_micro_set0_CRS_v1,batch_size>dataset_size,,,,,,,,,
244,ok,2547994939772137_micro_set1_APL_v1,success,1.0,3.0220703125,5.625,28.125,True,6468306944.0,16.0,AFT-MC-00,26.0
245,xx,255275862981737855_micro_set1_MD_5_BIS_v1,diverged,1.0,,1.875,21.875,True,6824555008.0,8.0,AFT-MC-00,1.0
246,ok,255751837889599008_micro_set0_RESISC_v1,success,1.0,3.444007748365402,3.125,20.625,False,397249536.0,2.0,AFT-MC-00,50.0
247,xx,25600848175767384_micro_set2_RSD_v1,OOM,,,,,,,,,
248,ok,256411730487086451_micro_set0_BCT_v1,success,1.0,3.2587890625,0.0,50.0,False,10153353216.0,2.0,AFT-MC-00,1.0
249,ok,257350527201314620_micro_set1_INS_2_v1,success,1.0,3.314000129699707,0.0,18.75,False,10311234048.0,8.0,AFT-MC-00,1.0
250,xx,258136654531087124_micro_set0_FLW_v1,success,,,,,,,,,
251,ok,25840978725710181_micro_set2_PLT_DOC_v1,success,1.0,3.60595703125,6.25,26.25,True,1854335488.0,4.0,AFT-MC-00,26.0
252,ok,25844013145982880_micro_set0_TEX_v1,success,1.0,3.591771790385246,5.625,31.875,False,1628004864.0,2.0,AFT-MC-00,50.0
253,ok,25887852894580963_micro_set2_FNG_v1,success,1.0,3.3412109375,6.875,28.125,False,798364672.0,16.0,AFT-MC-00,50.0
254,ok,25944534896843828_micro_set1_RSICB_v1,success,1.0,3.8772320687770843,1.875,28.125,False,852390912.0,4.0,AFT-MC-00,50.0
255,ok,25959323476649340_micro_set1_MED_LF_v1,success,1.0,2.995323288440704,3.75,23.125,False,8553051648.0,2.0,AFT-MC-00,50.0
256,ok,2596125947676972_micro_set0_BCT_v1,success,1.0,3.049470067024231,0.0,12.5,False,9410896384.0,4.0,AFT-MC-00,1.0
257,xx,26071533950328526_micro_set2_FNG_v1,OOM,,,,,,,,,
258,ok,2640692126730496_micro_set0_BRD_v1,success,1.0,2906680.325,4.375,25.0,False,928706560.0,8.0,AFT-MC-00,50.0
259,ok,26545429374632319_micro_set0_RESISC_v1,success,1.0,3.11572265625,2.5,26.25,True,4747492352.0,4.0,AFT-MC-00,26.0
260,ok,267852723874992014_micro_set1_ACT_40_v1,success,1.0,3.0272226333618164,0.0,25.0,False,10410563072.0,4.0,AFT-MC-00,1.0
261,ok,26867959471240006_micro_set0_BRD_v1,success,1.0,2.994876492023468,6.875,35.0,False,3710030848.0,8.0,AFT-MC-00,50.0
262,ok,270070643027694192_micro_set2_PLT_DOC_v1,success,1.0,2.9920364141464235,6.875,26.875,False,8455980032.0,16.0,AFT-MC-00,50.0
263,xx,2691641768641637_micro_set0_PLT_VIL_v1,OOM,,,,,,,,,
264,ok,27128121773722983_micro_set1_DOG_v1,success,1.0,2.9920847039473686,6.578947368421052,34.210526717336556,True,1703129088.0,32.0,AFT-MC-00,26.0
265,ok,27195437120445246_micro_set2_BTS_v1,success,1.0,3.005994701385498,3.75,23.75,False,8818299392.0,128.0,AFT-MC-00,50.0
266,ok,27245515114777582_micro_set1_MD_5_BIS_v1,success,1.0,3.040672206878662,8.125,31.875,False,1486731264.0,64.0,AFT-MC-00,50.0
267,ok,27362483218605805_micro_set2_TEX_ALOT_v1,success,1.0,3.3330078125,0.0,0.0,False,10231993856.0,4.0,AFT-MC-00,1.0
268,xx,27386247962895902_micro_set1_TEX_DTD_v1,success,,,,,,,,,
269,xx,274993839733304513_micro_set2_BTS_v1,cuDNN_error,,,,,,,,,
270,ok,27609914670453696_micro_set2_RSD_v1,success,1.0,3.8885982036590576,7.8125,27.34375,False,10197231104.0,64.0,AFT-MC-00,1.0
